query_file,time_ns
kcey-vehy.csv_qsurveyzone_home,17210729
ijzq-5wy8.csv_modes_used_june_bus,12023243
r5p4-2qap.csv_18_principal,12029696
naib-xtez.csv_a59_using_weapon_other_than,16498922
2ps2-dsjr.csv__05_principal,12068972
45nu-yrf2.csv_6_expulsions,12270909
kg6x-kv5b.csv_10_removals,12009341
i6ky-n2wd.csv__2_superintendent,12145488
naib-xtez.csv_a40_taking_property_without,16358389
naib-xtez.csv_a34_coercion_threats_p,12115750
kcey-vehy.csv_qsurveyzone_home,12165219
g3xg-qtbc.csv_approx_date_closed,11842861
fx4z-5xg2.csv_stop_question_frisk_complaint,16717637
vc9v-wg6y.csv_ell_arabic,12195396
8nqg-ia7v.csv_flag_mc,12000961
iz2q-9x8d.csv_total_est_fee,12113723
jpcp-ic7c.csv_qworktravelcode06,13461123
x5tk-fa54.csv_year_5_estimate,11955834
uu87-uz8m.csv_asc_contact_perp,12226141
268n-a7em.csv_local,12188511
reri-chf8.csv_grade_12,11971684
6bqn-qdwq.csv_tnc_mode,12208760
ek6b-5n74.csv_description_of_code,12047224
4nft-bihw.csv_tax_year,12052455
n84m-kx4j.csv_vehicle_engine_horsepower,16613462
wcm8-aq5w.csv_propane_use_kbtu,18034225
4tys-3tzj.csv_multifamily_housing_number,12286113
njjd-3gve.csv_q21_r4_c2,12211416
utpj-74fz.csv_retail_store_number_of_open,16477090
m8p6-tp4b.csv_yrb_rng,12143903
utpj-74fz.csv_percent_of_electricity_that,17375336
f33j-ecpr.csv_q21_r1_c2,12027838
nbun-wekj.csv_municipally_supplied_potable_1,16598075
yr5p-wjer.csv_stadium_closed_gross_floor,16495950
yr5p-wjer.csv_worship_facility_gross_floor,16543395
njjd-3gve.csv_q20_r7_c4,12124505
wa2y-rh4b.csv_noncity_yr1_plan,12138347
wcm8-aq5w.csv_percent_of_electricity_that,12383639
6e44-8i2s.csv_larceny_or_other_theft_with_weapon_s,16498294
utpj-74fz.csv_bank_branch_number_of,12164173
ijzq-5wy8.csv_modes_used_june_bus,13481977
r5p4-2qap.csv_18_principal,12331139
naib-xtez.csv_a59_using_weapon_other_than,16368357
2ps2-dsjr.csv__05_principal,12101877
45nu-yrf2.csv_6_expulsions,12244097
kg6x-kv5b.csv_10_removals,12155488
i6ky-n2wd.csv__2_superintendent,12035572
naib-xtez.csv_a40_taking_property_without,16509114
naib-xtez.csv_a34_coercion_threats_p,12135120
kcey-vehy.csv_qsurveyzone_home,12131650
g3xg-qtbc.csv_approx_date_closed,11970001
fx4z-5xg2.csv_stop_question_frisk_complaint,16648790
vc9v-wg6y.csv_ell_arabic,12078649
8nqg-ia7v.csv_flag_mc,12408266
iz2q-9x8d.csv_total_est_fee,12111043
jpcp-ic7c.csv_qworktravelcode06,12205408
x5tk-fa54.csv_year_5_estimate,11999786
uu87-uz8m.csv_asc_contact_perp,12036280
268n-a7em.csv_local,12252886
reri-chf8.csv_grade_12,12034604
6bqn-qdwq.csv_tnc_mode,13014055
ek6b-5n74.csv_description_of_code,12330163
4nft-bihw.csv_tax_year,12038789
n84m-kx4j.csv_vehicle_engine_horsepower,16466395
wcm8-aq5w.csv_propane_use_kbtu,16504726
4tys-3tzj.csv_multifamily_housing_number,12261688
njjd-3gve.csv_q21_r4_c2,12234570
utpj-74fz.csv_retail_store_number_of_open,16585899
m8p6-tp4b.csv_yrb_rng,12257398
utpj-74fz.csv_percent_of_electricity_that,16393259
f33j-ecpr.csv_q21_r1_c2,12124516
nbun-wekj.csv_municipally_supplied_potable_1,16592165
yr5p-wjer.csv_stadium_closed_gross_floor,16408053
yr5p-wjer.csv_worship_facility_gross_floor,16733487
njjd-3gve.csv_q20_r7_c4,12348300
wa2y-rh4b.csv_noncity_yr1_plan,12296513
wcm8-aq5w.csv_percent_of_electricity_that,12354460
6e44-8i2s.csv_larceny_or_other_theft_with_weapon_s,16535320
utpj-74fz.csv_bank_branch_number_of,12358205
ijzq-5wy8.csv_modes_used_june_bus,12252830
r5p4-2qap.csv_18_principal,12266456
naib-xtez.csv_a59_using_weapon_other_than,16532693
disc.csv_A37 Intimidating and Bullying Behavior  S,11862513
2ps2-dsjr.csv__05_principal,12235763
disc.csv_A29 Gang Related Behavior R,16975429
ijzq-5wy8.csv_modes_used_june_bus,12249061
r5p4-2qap.csv_18_principal,12207695
naib-xtez.csv_a59_using_weapon_other_than,16468008
disc.csv_A37 Intimidating and Bullying Behavior  S,11959997
2ps2-dsjr.csv__05_principal,12130016
disc.csv_A29 Gang Related Behavior R,16571245
45nu-yrf2.csv_6 EXPULSIONS,12110616
kg6x-kv5b.csv_10 REMOVALS,12051575
i6ky-n2wd.csv__2_superintendent,11984209
9cvd-uyw6.csv_ELL PRINCIPAL,12044805
disc.csv_A52 Group Violence S,12230765
naib-xtez.csv_a40_taking_property_without,16311208
t5qg-w9sq.csv_A36 Intimidating and Bullying Behavior R,12024105
naib-xtez.csv_a34_coercion_threats_p,12138771
kcey-vehy.csv_qsurveyzone_home,12405710
g3xg-qtbc.csv_approx_date_closed,11834742
fx4z-5xg2.csv_stop_question_frisk_complaint,16584388
vc9v-wg6y.csv_ell_arabic,12306325
8nqg-ia7v.csv_flag_mc,12776821
iz2q-9x8d.csv_total_est_fee,12027129
jpcp-ic7c.csv_qworktravelcode06,12065197
x5tk-fa54.csv_year_5_estimate,12294818
uu87-uz8m.csv_asc_contact_perp,12153302
268n-a7em.csv_local,12319729
reri-chf8.csv_grade_12,11878879
6bqn-qdwq.csv_tnc_mode,12210225
ek6b-5n74.csv_description_of_code,12198531
4nft-bihw.csv_tax_year,12297937
n84m-kx4j.csv_vehicle_engine_horsepower,16388796
wcm8-aq5w.csv_propane_use_kbtu,16381468
4tys-3tzj.csv_multifamily_housing_number,12247423
njjd-3gve.csv_q21_r4_c2,12346210
utpj-74fz.csv_retail_store_number_of_open,16667891
m8p6-tp4b.csv_yrb_rng,12055796
utpj-74fz.csv_percent_of_electricity_that,16847968
f33j-ecpr.csv_q21_r1_c2,12059002
nbun-wekj.csv_municipally_supplied_potable_1,16372790
yr5p-wjer.csv_stadium_closed_gross_floor,16380418
yr5p-wjer.csv_worship_facility_gross_floor,16528478
njjd-3gve.csv_q20_r7_c4,12241484
wa2y-rh4b.csv_noncity_yr1_plan,12118623
wcm8-aq5w.csv_percent_of_electricity_that,12272808
6e44-8i2s.csv_larceny_or_other_theft_with_weapon_s,16469144
utpj-74fz.csv_bank_branch_number_of,12413984
ijzq-5wy8.csv_modes_used_june_bus,12211149
r5p4-2qap.csv_18 PRINCIPAL,12155826
naib-xtez.csv_a59_using_weapon_other_than,16878849
disc.csv_A37 Intimidating and Bullying Behavior  S,12163500
2ps2-dsjr.csv__05_principal,12071106
disc.csv_A29 Gang Related Behavior R,16415440
45nu-yrf2.csv_6 EXPULSIONS,12301024
kg6x-kv5b.csv_10 REMOVALS,12020690
i6ky-n2wd.csv__2_superintendent,11978644
9cvd-uyw6.csv_ELL PRINCIPAL,12030680
disc.csv_A52 Group Violence S,11912105
naib-xtez.csv_a40_taking_property_without,16523560
t5qg-w9sq.csv_B31 Scholastic Dishonesty R,16486059
64pu-zyr2.csv_A36 Intimidating and Bullying Behavior R,12007217
naib-xtez.csv_a34_coercion_threats_p,12343537
kcey-vehy.csv_qsurveyzone_home,12341719
g3xg-qtbc.csv_approx_date_closed,12198639
fx4z-5xg2.csv_stop_question_frisk_complaint,16544161
vc9v-wg6y.csv_ell_arabic,12149926
8nqg-ia7v.csv_flag_mc,12272900
iz2q-9x8d.csv_total_est_fee,12102719
jpcp-ic7c.csv_qworktravelcode06,12159369
x5tk-fa54.csv_year_5_estimate,12338091
uu87-uz8m.csv_asc_contact_perp,12153030
268n-a7em.csv_local,12227676
reri-chf8.csv_grade_12,12109010
ek6b-5n74.csv_description_of_code,12210599
4nft-bihw.csv_tax_year,12149256
n84m-kx4j.csv_vehicle_engine_horsepower,16717665
wcm8-aq5w.csv_propane_use_kbtu,16415088
4tys-3tzj.csv_multifamily_housing_number,11995363
njjd-3gve.csv_q21_r4_c2,12315333
utpj-74fz.csv_retail_store_number_of_open,16512983
m8p6-tp4b.csv_yrb_rng,12050305
utpj-74fz.csv_percent_of_electricity_that,16498121
f33j-ecpr.csv_q21_r1_c2,12060129
nbun-wekj.csv_municipally_supplied_potable_1,16460395
yr5p-wjer.csv_stadium_closed_gross_floor,16401266
yr5p-wjer.csv_worship_facility_gross_floor,17313889
njjd-3gve.csv_q20_r7_c4,12169190
wa2y-rh4b.csv_noncity_yr1_plan,12352558
wcm8-aq5w.csv_percent_of_electricity_that,12136140
6e44-8i2s.csv_larceny_or_other_theft_with_weapon_s,16830183
utpj-74fz.csv_bank_branch_number_of,12004710
6bqn-qdwq.csv_tnc_mode,11994438
